"","LATITUDE","LONGITUDE","NumInj"
"85",40.7612344,-73.9638843,1
"86",40.8155447,-73.9569184,1
"87",40.7717376,-73.961243,1
"88",40.7479591,-73.9794573,1
"89",40.8723846,-73.9126675,1
"90",40.751081,-73.9868516,1
"91",40.7438255,-73.9795091,1
"92",40.8175484,-73.9569352,1
"93",40.7961577,-73.9476454,1
"94",40.8520582,-73.9347764,1
"95",40.8200056,-73.9588737,1
"96",40.7184487,-73.9878321,1
"97",40.7903489,-73.9518969,1
"98",40.8610639,-73.9261779,1
"99",40.7526196,-73.9670687,1
"100",40.7482147,-73.9685398,1
"101",40.7755624,-73.950337,1
"102",40.7284471,-73.9817905,1
"103",40.7136371,-73.987061,1
"104",40.7567642,-73.9671533,2
"105",40.8240317,-73.9447582,2
"106",40.7127234,-74.0096671,1
"107",40.7245509,-74.0019338,1
"108",40.7076833,-74.0156791,1
"109",40.7199725,-73.9928968,1
"110",40.812739,-73.9376183,3
"111",40.744184,-73.9938036,2
"112",40.754814,-73.9625487,1
"113",40.8303834,-73.940171,1
"114",40.7429104,-73.9928041,1
"115",40.7596199,-73.9619648,1
"116",40.7507879,-74.0056304,1
"117",40.7515235,-73.9939473,1
"118",40.8044198,-73.9553688,1
"119",40.8316943,-73.9492543,1
"120",40.7452931,-73.9984879,1
"121",40.7313511,-73.9825546,3
"122",40.8258982,-73.9393512,1
"123",40.7205518,-73.9969769,1
"124",40.8133899,-73.9562587,1
"125",40.7388392,-73.9852338,1
"126",40.7544878,-73.9930375,1
"127",40.7146695,-73.9911334,1
"128",40.7923625,-73.9641744,1
"129",40.7403945,-73.9790771,1
"130",40.7404705,-73.9982859,1
"131",40.812739,-73.9376183,1
"132",40.7694395,-73.9518578,1
"133",40.7591644,-73.9883913,1
"134",40.8654123,-73.9274746,1
"135",40.7584292,-73.9926328,4
"136",40.762025,-74.0011515,1
"137",40.740443,-73.9945943,1
"138",40.8145137,-73.9405465,1
"139",40.7488862,-73.9758407,1
"140",40.7177239,-73.9857652,1
"141",40.7629663,-73.9739693,1
"142",40.7521247,-74.0011586,2
"143",40.7438733,-73.9716202,1
"144",40.8169753,-73.9397712,2
"145",40.7144796,-74.013556,1
"146",40.7364652,-73.9869628,1
"147",40.7692957,-73.9949385,1
"148",40.8107645,-73.9525902,1
"149",40.7762211,-73.9759535,1
"150",40.8483929,-73.9376716,2
"151",40.8239402,-73.9485521,2
"152",40.8410766,-73.9397674,1
